region	country	station	stationName	latitude	longitude	determinand	detGroup	meanLY	HQS	Contamination ratio	Matrix
Arkona Basin	Denmark	KBKSOEV	The Sound Amager Søvang	55.56967	12.70717	FLU	PAH (parent)	4.7	30	0.156666667	Biota
Kattegat	Denmark	LIM-3702-2	Limfjorden Lemvig	56.56233	8.297	CD	Metals	118.3249762	137.28	0.861924361	Biota
Kattegat	Denmark	LIM-3702-2	Limfjorden Lemvig	56.56233	8.297	HG	Metals	19.17823767	20	0.958911883	Biota
Kattegat	Denmark	LIM-3702-2	Limfjorden Lemvig	56.56233	8.297	PB	Metals	80.41890325	185.9	0.432592271	Biota
Kattegat	Denmark	LIM-3702-2	Limfjorden Lemvig	56.56233	8.297	BAP	PAH (parent)	1.264911064	5	0.252982213	Biota
Kattegat	Denmark	LIM-3702-2	Limfjorden Lemvig	56.56233	8.297	FLU	PAH (parent)	7.39100805	30	0.246366935	Biota
Kattegat	Denmark	LIM-3702-4	Nissum Bredning Hellesø	56.6895	8.245	CD	Metals	114.376	137.28	0.833158508	Biota
Kattegat	Denmark	LIM-3702-4	Nissum Bredning Hellesø	56.6895	8.245	HG	Metals	38.6512	20	1.93256	Biota
Kattegat	Denmark	LIM-3702-4	Nissum Bredning Hellesø	56.6895	8.245	PB	Metals	118.32	185.9	0.636471221	Biota
Kattegat	Denmark	LIM-3702-4	Nissum Bredning Hellesø	56.6895	8.245	BAP	PAH (parent)	0.5	5	0.1	Biota
Kattegat	Denmark	LIM-3702-4	Nissum Bredning Hellesø	56.6895	8.245	FLU	PAH (parent)	3.27	30	0.109	Biota
Kattegat	Denmark	LIM-3705-1	Kås Bredning	56.65667	8.70633	CD	Metals	92.01689248	137.28	0.670286221	Biota
Kattegat	Denmark	LIM-3705-1	Kås Bredning	56.65667	8.70633	HG	Metals	33.69320034	20	1.684660017	Biota
Kattegat	Denmark	LIM-3705-1	Kås Bredning	56.65667	8.70633	PB	Metals	224.2291363	185.9	1.206181475	Biota
Kattegat	Denmark	LIM-3705-1	Kås Bredning	56.65667	8.70633	BAP	PAH (parent)	0.555749861	5	0.111149972	Biota
Kattegat	Denmark	LIM-3705-1	Kås Bredning	56.65667	8.70633	FLU	PAH (parent)	2.712268914	30	0.090408964	Biota
Kattegat	Denmark	LIM-3708-1	Limfjorden Loegstoer Bredning	56.95233	9.0575	CD	Metals	158.2355291	137.28	1.152648085	Biota
Kattegat	Denmark	LIM-3708-1	Limfjorden Loegstoer Bredning	56.95233	9.0575	HG	Metals	14.53252407	20	0.726626204	Biota
Kattegat	Denmark	LIM-3708-1	Limfjorden Loegstoer Bredning	56.95233	9.0575	PB	Metals	99.71553715	185.9	0.536393422	Biota
Kattegat	Denmark	LIM-3708-1	Limfjorden Loegstoer Bredning	56.95233	9.0575	BAP	PAH (parent)	0.615002399	5	0.12300048	Biota
Kattegat	Denmark	LIM-3708-1	Limfjorden Loegstoer Bredning	56.95233	9.0575	FLU	PAH (parent)	3.87082615	30	0.129027538	Biota
Kattegat	Denmark	LIM-3708-2	Limfjorden Løgstør Bredning	56.92583	9.10267	CD	Metals	142	137.28	1.034382284	Biota
Kattegat	Denmark	LIM-3708-2	Limfjorden Løgstør Bredning	56.92583	9.10267	HG	Metals	19.6	20	0.98	Biota
Kattegat	Denmark	LIM-3708-2	Limfjorden Løgstør Bredning	56.92583	9.10267	PB	Metals	100	185.9	0.537923615	Biota
Kattegat	Denmark	LIM-3708-2	Limfjorden Løgstør Bredning	56.92583	9.10267	BAP	PAH (parent)	0.63	5	0.126	Biota
Kattegat	Denmark	LIM-3708-2	Limfjorden Løgstør Bredning	56.92583	9.10267	FLU	PAH (parent)	2.49	30	0.083	Biota
Kattegat	Denmark	LIM-3708-5	Limfjorden Central Loegstoer Bredning	56.96583	9.05417	CD	Metals	145.926	137.28	1.062980769	Biota
Kattegat	Denmark	LIM-3708-5	Limfjorden Central Loegstoer Bredning	56.96583	9.05417	HG	Metals	18.1302	20	0.90651	Biota
Kattegat	Denmark	LIM-3708-5	Limfjorden Central Loegstoer Bredning	56.96583	9.05417	PB	Metals	110.55	185.9	0.594674556	Biota
Kattegat	Denmark	LIM-3708-5	Limfjorden Central Loegstoer Bredning	56.96583	9.05417	BAP	PAH (parent)	0.9	5	0.18	Biota
Kattegat	Denmark	LIM-3708-5	Limfjorden Central Loegstoer Bredning	56.96583	9.05417	FLU	PAH (parent)	2	30	0.066666667	Biota
Kattegat	Denmark	LIM-3711-1	Limfjorden Attrup	57.03267	9.45217	CD	Metals	111.91	137.28	0.815195221	Biota
Kattegat	Denmark	LIM-3711-1	Limfjorden Attrup	57.03267	9.45217	HG	Metals	7.942	20	0.3971	Biota
Kattegat	Denmark	LIM-3711-1	Limfjorden Attrup	57.03267	9.45217	PB	Metals	72.2	185.9	0.38838085	Biota
Kattegat	Denmark	LIM-3711-1	Limfjorden Attrup	57.03267	9.45217	BAP	PAH (parent)	0.8	5	0.16	Biota
Kattegat	Denmark	LIM-3711-1	Limfjorden Attrup	57.03267	9.45217	FLU	PAH (parent)	2.9	30	0.096666667	Biota
Kattegat	Denmark	LIM-3711-3	Langerak	57.043	9.706	CD	Metals	108.7916178	137.28	0.792479733	Biota
Kattegat	Denmark	LIM-3711-3	Langerak	57.043	9.706	HG	Metals	10.07214664	20	0.503607332	Biota
Kattegat	Denmark	LIM-3711-3	Langerak	57.043	9.706	PB	Metals	78.41155527	185.9	0.421794273	Biota
Kattegat	Denmark	LIM-3711-3	Langerak	57.043	9.706	BAP	PAH (parent)	0.632455532	5	0.126491106	Biota
Kattegat	Denmark	LIM-3711-3	Langerak	57.043	9.706	FLU	PAH (parent)	2.878888674	30	0.095962956	Biota
Kattegat	Denmark	LIM-3711-5	Limfjorden Aggersund	57.029	9.51	CD	Metals	103.113	137.28	0.75111451	Biota
Kattegat	Denmark	LIM-3711-5	Limfjorden Aggersund	57.029	9.51	HG	Metals	15.0147	20	0.750735	Biota
Kattegat	Denmark	LIM-3711-5	Limfjorden Aggersund	57.029	9.51	PB	Metals	90.45	185.9	0.48655191	Biota
Kattegat	Denmark	LIM-3711-5	Limfjorden Aggersund	57.029	9.51	BAP	PAH (parent)	0.4	5	0.08	Biota
Kattegat	Denmark	LIM-3711-5	Limfjorden Aggersund	57.029	9.51	FLU	PAH (parent)	3.5	30	0.116666667	Biota
Kattegat	Denmark	LIM-3713-1	Limfjorden Hestehage	57.05967	9.8945	CD	Metals	96.824	137.28	0.70530303	Biota
Kattegat	Denmark	LIM-3713-1	Limfjorden Hestehage	57.05967	9.8945	HG	Metals	20.2293	20	1.011465	Biota
Kattegat	Denmark	LIM-3713-1	Limfjorden Hestehage	57.05967	9.8945	PB	Metals	224.77	185.9	1.209090909	Biota
Kattegat	Denmark	LIM-3713-1	Limfjorden Hestehage	57.05967	9.8945	BAP	PAH (parent)	0.5	5	0.1	Biota
Kattegat	Denmark	LIM-3713-1	Limfjorden Hestehage	57.05967	9.8945	FLU	PAH (parent)	6.51	30	0.217	Biota
Kattegat	Denmark	LIM-3714-1	Limfjorden Hesteskoen	57.0848	10.003	CD	Metals	85.45	137.28	0.622450466	Biota
Kattegat	Denmark	LIM-3714-1	Limfjorden Hesteskoen	57.0848	10.003	HG	Metals	16.7482	20	0.83741	Biota
Kattegat	Denmark	LIM-3714-1	Limfjorden Hesteskoen	57.0848	10.003	PB	Metals	102.54	185.9	0.551586875	Biota
Kattegat	Denmark	LIM-3714-1	Limfjorden Hesteskoen	57.0848	10.003	BAP	PAH (parent)	0.92	5	0.184	Biota
Kattegat	Denmark	LIM-3714-1	Limfjorden Hesteskoen	57.0848	10.003	FLU	PAH (parent)	3.37	30	0.112333333	Biota
Kattegat	Denmark	LIM-3714-2	Langerak	57.07	10.04367	CD	Metals	100.602	137.28	0.732823427	Biota
Kattegat	Denmark	LIM-3714-2	Langerak	57.07	10.04367	HG	Metals	17.3502	20	0.86751	Biota
Kattegat	Denmark	LIM-3714-2	Langerak	57.07	10.04367	PB	Metals	87.48	185.9	0.470575578	Biota
Kattegat	Denmark	LIM-3714-2	Langerak	57.07	10.04367	BAP	PAH (parent)	0.3	5	0.06	Biota
Kattegat	Denmark	LIM-3714-2	Langerak	57.07	10.04367	FLU	PAH (parent)	2.35	30	0.078333333	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	CD	Metals	204.984	137.28	1.493181818	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	HG	Metals	14.742	20	0.7371	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	PB	Metals	154.44	185.9	0.830769231	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	BAP	PAH (parent)	1.3	5	0.26	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	FLU	PAH (parent)	3.6	30	0.12	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	HBCD	Organo-bromines	0.261904762	167	0.001568292	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	SBD6	Organo-bromines	0.492470623	0.0085	57.9377204	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	SCB6	Chlorobiphenyls	20.73902276	75	0.276520304	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	SDX	Dioxins	0.001116442	0.0065	0.171760376	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	HG	Metals	65.07563806	20	3.253781903	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	PB	Metals	47.68661964	26	1.834100755	Biota
Kattegat	Denmark	LIM-3716-1	Langerak	57.03833	10.11667	PFOS	Perfluoranated compounds	8.073484714	162.89	0.049564029	Biota
Kattegat	Denmark	LIM-3718-2	Langerak Mou Havn	56.98602	10.22758	CD	Metals	107.754403	137.28	0.784924264	Biota
Kattegat	Denmark	LIM-3718-2	Langerak Mou Havn	56.98602	10.22758	HG	Metals	18.3133967	20	0.915669835	Biota
