"Waterbody";"matrix";"substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfAcc";"Datatype";"ConfTemp";"Area_km2";"Grids";"GridsAssessed";"Stations";"ConfSpatial";"ConfMethod"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";2.38;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;38;40;"H";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";1.57;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;36;37;"L";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;17;20;"L";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;35;42;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;40;43;"M";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;22;42;"L";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.23;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;17;3;"M";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.99;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;21;38;"H";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.04;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;23;16;"L";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.15;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;2;12;"M";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.68;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;23;13;"H";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.64;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;24;41;"M";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;12;18;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.04;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;17;42;"H";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.04;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;18;18;"H";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.04;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;40;30;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.18;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;26;23;"H";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.24;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;24;8;"M";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.8;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;24;14;"M";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.79;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;7;6;"L";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.72;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;9;2;"L";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.41;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;41;26;"L";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.59;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;1;7;"H";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.51;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;31;31;"M";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.57;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;34;41;"H";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.58;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;27;26;"H";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.59;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;21;29;"M";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.61;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;13;1;"M";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";2.83;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;12;35;"L";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";2.52;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;19;12;"M";"L"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1712.75;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;13;37;"M";"L"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.75;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;42;41;"L";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";4.55;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;30;42;"H";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.86;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;39;26;"H";"L"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.02;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;12;15;"M";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.52;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;36;38;"L";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.36;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;30;8;"H";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.25;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;41;28;"L";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.36;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;41;12;"L";"H"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";2.9;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;7;38;"L";"L"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.27;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;32;38;"M";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.27;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;5;35;"H";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.47;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;4;33;"M";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.24;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;31;7;"H";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;7;8;"M";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;23;11;"M";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;28;24;"M";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.08;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;26;22;"L";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.18;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;40;39;"L";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;26;34;"H";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.18;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;42;31;"H";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;4;4;"H";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.2;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;37;6;"M";"H"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;17;39;"M";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;23;13;"H";"L"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;33;30;"H";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.08;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;5;9;"L";"M"
"Belts Danish Coastal waters";"Biota";"BAP";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;7;14;"L";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.2;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;17;38;"L";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.59;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;12;26;"H";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.23;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;42;39;"M";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.58;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;2;16;"H";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.7;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;33;9;"H";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.01;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;42;8;"L";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.06;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;33;2;"L";"H"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.9;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;28;36;"L";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.82;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;39;37;"L";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.61;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;24;24;"M";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";2.03;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;42;3;"L";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.9;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;2;17;"H";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.99;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;15;2;"M";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;10;26;"M";"M"
"Belts Danish Coastal waters";"Biota";"CD";"HM";1.28;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;30;14;"M";"L"
"Belts Danish Coastal waters";"Biota";"CD";"HM";0.9;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;28;37;"H";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.07;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;0;2;"M";"L"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.19;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;31;15;"H";"L"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.18;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;35;32;"H";"M"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.44;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;13;18;"H";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.69;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;33;10;"L";"M"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.62;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;25;2;"M";"M"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.82;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;5;20;"L";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.66;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;41;38;"H";"M"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.78;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;16;19;"M";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";1.04;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;37;10;"H";"M"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";1.53;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;18;29;"H";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.35;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;22;34;"H";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";0.88;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;30;5;"L";"H"
"Belts Danish Coastal waters";"Sediment";"CD";"HM";3.74;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;26;13;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;18;7;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;7;30;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;43;2;"L";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;36;9;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.18;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;11;7;"H";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.16;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;31;27;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.15;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;5;5;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.15;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;32;27;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.06;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;34;12;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.07;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;43;11;"H";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;18;30;"L";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;35;33;"H";"L"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.08;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;41;15;"M";"H"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.1;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;28;41;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.12;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;20;20;"L";"M"
"Belts Danish Coastal waters";"Biota";"FLU";"Org";0.13;"ug/kg ww mussels";"+";"H";"L";"initial";"M";8670.51238667587;289;17;38;"M";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.62;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;5;2;"L";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.13;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;13;26;"H";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.84;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;29;7;"M";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.58;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;15;31;"L";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.67;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;19;4;"L";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.02;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;2;40;"H";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.63;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;19;12;"M";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.69;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;4;10;"H";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.66;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;26;24;"L";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.37;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;22;4;"M";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.77;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;38;34;"H";"L"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.97;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;31;23;"H";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";1.07;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;21;41;"M";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.79;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;43;43;"M";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.82;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;18;3;"L";"M"
"Belts Danish Coastal waters";"Biota";"HG";"HM";0.69;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";8670.51238667587;289;12;5;"H";"H"
"Belts Danish Coastal waters";"Biota";"HG";"HM";2.24;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";8670.51238667587;289;36;35;"M";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.67;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;43;10;"M";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.97;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;10;36;"L";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.5;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;22;20;"H";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.35;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;21;3;"H";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.16;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;10;38;"L";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.01;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;13;7;"L";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.98;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;30;23;"M";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.59;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;37;12;"M";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.38;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;2;22;"H";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.16;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;15;21;"H";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.06;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;25;22;"H";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.17;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;33;16;"L";"L"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.3;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;19;35;"M";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.72;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;1;1;"M";"H"
"Belts Danish Coastal waters";"Biota";"PB";"HM";1.11;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;13;9;"M";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";0.61;"ug/kg dw mussels";"+";"M";"L";"initial";"M";8670.51238667587;289;6;16;"H";"M"
"Belts Danish Coastal waters";"Biota";"PB";"HM";2.26;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";8670.51238667587;289;29;12;"H";"L"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.37;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;1;1;"H";"L"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.42;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;42;37;"L";"L"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.2;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;1;29;"L";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.4;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;42;14;"M";"H"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.31;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;7;22;"M";"L"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.32;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;7;34;"M";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.38;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;22;2;"M";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.4;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;43;20;"L";"H"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.41;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;39;16;"L";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.49;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;15;28;"M";"H"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.36;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;0;19;"H";"H"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";0.39;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;14;25;"L";"M"
"Belts Danish Coastal waters";"Sediment";"PB";"HM";1.63;"mg/kg sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;8;34;"M";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";8.93;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;37;21;"L";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";4.65;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;40;28;"M";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";3.4;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;3;43;"L";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";1167.22;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;34;35;"M";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";8.17;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;4;16;"H";"H"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";54.24;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;19;17;"H";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";27.97;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;37;38;"M";"H"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";9.01;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;25;24;"L";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";9.14;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;20;9;"M";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";4.71;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;31;20;"M";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";4.63;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;19;11;"L";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";2.13;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;37;41;"H";"M"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";5.2;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;35;1;"M";"H"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";12.41;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;33;12;"H";"L"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";3.05;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;40;9;"H";"H"
"Belts Danish Coastal waters";"Sediment";"TBTIN";"Org";2.93;"ug/kg dw sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;7;19;"L";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.46;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;42;25;"H";"M"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";1.76;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;4;31;"M";"L"
"Belts Danish Coastal waters";"Sediment";"ANT";"Org";0.34;"ug/kg ww sediment";"+";"H";"L";"initial";"M";8670.51238667587;289;17;7;"H";"H"
